# x_ref_m, y_ref_m, width_right_m, width_left_m, x_normvec_m, y_normvec_m, alpha_m, s_racetraj_m, psi_racetraj_rad, kappa_racetraj_radpm, vx_racetraj_mps, ax_racetraj_mps2
-16.1186228, -67.0446303, 5.0082527, 4.9917473, -0.6816688, -0.7316609, 4.2931218, 342.3911347, -2.5335867, -0.0545950, 9.3547561, -7.0192143
-15.9003389, -67.2530598, 5.0086523, 4.9913477, -0.6994739, -0.7146581, 4.3340298, 342.5909789, -2.5449692, -0.0594024, 9.2034696, -6.8982414
-15.6874363, -67.4667239, 5.0088183, 4.9911817, -0.7172156, -0.6968513, 4.3715897, 342.7868256, -2.5571897, -0.0628586, 9.0523274, -6.7629472
-15.4802139, -67.6855358, 5.0088325, 4.9911675, -0.7348804, -0.6781967, 4.4058593, 342.9785233, -2.5701431, -0.0666914, 8.9016587, -6.6522496
-15.2789704, -67.9094084, 5.0088468, 4.9911532, -0.7524496, -0.6586499, 4.4368893, 343.1659327, -2.5838594, -0.0704334, 8.7509257, -6.5560920
-15.0840046, -68.1382549, 5.0088610, 4.9911390, -0.7698987, -0.6381661, 4.4647250, 343.3489331, -2.5983323, -0.0742098, 8.5997870, -6.4754035
-14.8956152, -68.3719883, 5.0079793, 4.9920207, -0.7871974, -0.6167011, 4.4894084, 343.5274262, -2.6135645, -0.0780119, 8.4478545, -6.4053356
-14.7141012, -68.6105218, 5.0069689, 4.9930311, -0.8043086, -0.5942117, 4.5109794, 343.7013400, -2.6295580, -0.0819129, 8.2948286, -6.3478561
-14.5397612, -68.8537684, 5.0059585, 4.9940415, -0.8211885, -0.5706570, 4.5294784, 343.8706342, -2.6295580, -0.0819129, 8.2948286, -6.3478561
-14.3728941, -69.1016411, 5.0047090, 4.9952910, -0.8377864, -0.5459982, 4.5449482, 344.0353025, -2.6463329, -0.0858959, 8.1403384, -6.2509609
-14.2137986, -69.3540530, 5.0017800, 4.9982200, -0.8540431, -0.5202022, 4.5574358, 344.1953860, -2.6639363, -0.0907601, 7.9852861, -6.1964405
-14.0627735, -69.6109173, 4.9988511, 5.0011489, -0.8698955, -0.4932361, 4.5669988, 344.3509449, -2.6825183, -0.0952959, 7.8285558, -5.9988371
-13.9201177, -69.8721470, 4.9959221, 5.0040779, -0.8852621, -0.4650924, 4.5736969, 344.5021862, -2.7024708, -0.1025101, 7.6737746, -5.3585524
-13.7861298, -70.1376551, 4.9922161, 5.0077839, -0.9000918, -0.4357003, 4.5776243, 344.6490037, -2.7024708, -0.1025101, 7.6737746, -5.3585524
-13.6610924, -70.4073451, 4.9870208, 5.0129792, -0.9141200, -0.4054437, 4.5788972, 344.7935897, -2.7241380, -0.1176434, 7.5328251, -3.9326132
-13.5450981, -70.6810080, 4.9818256, 5.0181744, -0.9270100, -0.3750367, 4.5778644, 344.9396190, -2.7506440, -0.1468266, 7.4276815, -2.6748748
-13.4381173, -70.9583625, 4.9766303, 5.0233697, -0.9387173, -0.3446879, 4.5750094, 345.0880556, -2.7506440, -0.1468266, 7.4276815, -2.6748748
-13.3401185, -71.2391260, 4.9714264, 5.0285736, -0.9492930, -0.3143926, 4.5708412, 345.2387553, -2.7826259, -0.1729666, 7.3553064, -1.5089145
-13.2510700, -71.5230160, 4.9662163, 5.0337837, -0.9587679, -0.2841904, 4.5658897, 345.3917635, -2.8196709, -0.1967061, 7.3141632, -0.4201740
-13.1709403, -71.8097499, 4.9610061, 5.0389939, -0.9671777, -0.2541011, 4.5606950, 345.5470082, -2.8611911, -0.2177397, 7.3026651, -0.0319897
-13.0996978, -72.0990453, 4.9557960, 5.0442040, -0.9745562, -0.2241432, 4.5557960, 345.7043940, -2.9059650, -0.2250726, 7.3017890, -0.0319897
-13.0373109, -72.3906197, 4.9525002, 5.0474998, -0.9809364, -0.1943290, 4.5516077, 345.8637927, -2.9059650, -0.2250726, 7.3017890, -0.0319897
-12.9837481, -72.6841904, 4.9495870, 5.0504130, -0.9863492, -0.1646670, 4.5482495, 346.0250640, -2.9504462, -0.2186236, 7.3009127, 0.3146537
-12.9389777, -72.9794750, 4.9466737, 5.0533263, -0.9908236, -0.1351612, 4.5457113, 346.1880551, -2.9934889, -0.2117681, 7.3095270, 0.6533469
-12.9029682, -73.2761909, 4.9440229, 5.0559771, -0.9943861, -0.1058124, 4.5439707, 346.3526008, -3.0352226, -0.2060113, 7.3273813, 0.9069335
-12.8756880, -73.5740557, 4.9439360, 5.0560640, -0.9970605, -0.0766184, 4.5430082, 346.5185249, -3.0759336, -0.2012789, 7.3520936, 1.0877821
-12.8571055, -73.8727867, 4.9438491, 5.0561509, -0.9988677, -0.0475744, 4.5428058, 346.6856417, -3.0759336, -0.2012789, 7.3520936, 1.0877821
-12.8471891, -74.1721015, 4.9437621, 5.0562379, -0.9998256, -0.0186733, 4.5433454, 346.8537574, -3.1158006, -0.1974339, 7.3816245, 1.2094536
-12.8459072, -74.4717176, 4.9446311, 5.0553689, -0.9999491, 0.0100935, 4.5446081, 347.0226718, 3.1282055, -0.1943703, 7.4143205, 1.2820641
-12.8532283, -74.7713523, 4.9472581, 5.0527419, -0.9992495, 0.0387359, 4.5465731, 347.1921792, 3.0895752, -0.1920080, 7.4488227, 1.3131529
-12.8691208, -75.0707232, 4.9498852, 5.0501148, -0.9977351, 0.0672650, 4.5492173, 347.3620699, 3.0513764, -0.1900947, 7.4839967, 1.3191531
-12.8935531, -75.3695478, 4.9525123, 5.0474877, -0.9954110, 0.0956921, 4.5525123, 347.5321314, 3.0135537, -0.1877791, 7.5191658, 1.3494494
-12.9264936, -75.6675435, 4.9565286, 5.0434714, -0.9922786, 0.1240288, 4.5564106, 347.7021494, 2.9763222, -0.1844084, 7.5549731, 1.4401591
-12.9679107, -75.9644278, 4.9613107, 5.0386893, -0.9883364, 0.1522866, 4.5608247, 347.8719089, 2.9763222, -0.1844084, 7.5549731, 1.4401591
-13.0177729, -76.2599181, 4.9660928, 5.0339072, -0.9835793, 0.1804764, 4.5656477, 348.0411968, 2.9397571, -0.1812581, 7.5930011, 1.5152161
-13.0760486, -76.5537320, 4.9708748, 5.0291252, -0.9779993, 0.2086080, 4.5707678, 348.2098033, 2.9037880, -0.1785509, 7.6328066, 1.5627158
-13.1427061, -76.8455869, 4.9762513, 5.0237487, -0.9715852, 0.2366903, 4.5760701, 348.3775238, 2.8683247, -0.1761888, 7.6736435, 1.5898283
